school_name,school_type,grades_served,address,city,state,zip_code,website_url,phone,latitude,longitude,setting,enrollment_count,student_teacher_ratio,enrollment_prek,enrollment_k,enrollment_1,enrollment_2,enrollment_3,enrollment_4,enrollment_5,enrollment_6,enrollment_7,enrollment_8,enrollment_9,enrollment_10,enrollment_11,enrollment_12,district,district_id,math_proficiency_pct,reading_proficiency_pct,state_percentile_rank,disadvantaged_pct,minority_enrollment_pct,white_pct,black_pct,hispanic_pct,asian_pct,multiracial_pct,full_time_teachers,certified_teachers_pct,counselors_count,source,source_url
Patrick Elementary School,Public,PK-5,2707 Kilgore Rd,Buford,GA,30519,,6787655260,34.089114,-83.957553,large suburb,962,14,19.0,136.0,146.0,152.0,174.0,172.0,163.0,,,,,,,,Gwinnett County School District,106134.0,60.0,54.0,87.21,57.0,83.0,17.3,32.2,23.1,21.4,5.9,69,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/patrick-elementary-school-220827
Starling Elementary School,Public,PK-5,1725 Grayson Hwy,Grayson,GA,30017,,6783446100,33.902609,-83.965815,large suburb,1249,15,40.0,172.0,193.0,229.0,195.0,221.0,199.0,,,,,,,,Gwinnett County School District,106134.0,55.0,56.0,86.97,59.0,86.0,14.3,49.3,19.3,10.7,5.7,85,99.0,2.0,US News,https://www.usnews.com/education/k12/georgia/starling-elementary-school-223803
Sugar Hill Elementary School,Public,PK-5,939 Level Creek Rd,Sugar Hill,GA,30518,,7709455735,34.0998,-84.04,large suburb,1145,13,16.0,165.0,172.0,191.0,193.0,211.0,197.0,,,,,,,,Gwinnett County School District,106134.0,61.0,53.0,86.65,53.0,70.0,30.1,20.3,26.7,16.2,6.4,90,99.0,2.0,US News,https://www.usnews.com/education/k12/georgia/sugar-hill-elementary-school-223962
Partee Elementary School,Public,PK-5,4350 Campbell Rd,Snellville,GA,30039,,7709826920,33.7939,-84.0535,large suburb,777,13,20.0,122.0,125.0,124.0,121.0,138.0,127.0,,,,,,,,Gwinnett County School District,106134.0,58.0,52.0,86.56,80.0,97.0,3.0,66.0,19.3,7.1,4.2,61,95.0,1.0,US News,https://www.usnews.com/education/k12/georgia/partee-elementary-school-220804
Mason Elementary School,Public,PK-5,3030 Bunten Rd,Duluth,GA,30096,,7702323370,33.9963,-84.1189,large suburb,926,14,3.0,135.0,152.0,151.0,173.0,161.0,151.0,,,,,,,,Gwinnett County School District,106134.0,62.0,55.0,86.4,48.0,88.0,11.9,29.9,17.0,35.5,5.1,68,98.0,2.0,US News,https://www.usnews.com/education/k12/georgia/mason-elementary-school-218943
Cooper Elementary School,Public,PK-5,555 Ozora Rd,Loganville,GA,30052,,7705547050,33.8916,-83.9135,large suburb,1509,14,21.0,207.0,224.0,244.0,280.0,266.0,267.0,,,,,,,,Gwinnett County School District,106134.0,55.0,54.0,86.16,58.0,82.0,18.1,58.6,14.0,3.2,5.8,111,98.0,2.0,US News,https://www.usnews.com/education/k12/georgia/cooper-elementary-school-213012
Harris Elementary School,Public,PK-5,3123 Claiborne Dr,Duluth,GA,30096,,7704762241,33.9871,-84.1342,large suburb,612,11,3.0,96.0,83.0,126.0,112.0,95.0,97.0,,,,,,,,Gwinnett County School District,106134.0,52.0,55.0,85.68,75.0,88.0,12.3,19.8,47.7,15.8,4.1,57,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/harris-elementary-school-215909
Knight Elementary School,Public,PK-5,401 N River Dr Sw,Lilburn,GA,30047,,7709212400,33.8857,-84.1002,large suburb,893,13,12.0,128.0,142.0,143.0,156.0,146.0,166.0,,,,,,,,Gwinnett County School District,106134.0,55.0,51.0,85.04,74.0,85.0,14.9,17.1,47.3,15.9,4.7,69,95.0,1.0,US News,https://www.usnews.com/education/k12/georgia/knight-elementary-school-217649
Chattahoochee Elementary School,Public,PK-5,2930 Albion Farm Rd,Duluth,GA,30097,,7704979907,34.0183,-84.1475,large suburb,1119,13,30.0,178.0,152.0,177.0,200.0,203.0,179.0,,,,,,,,Gwinnett County School District,106134.0,55.0,53.0,83.19,50.0,80.0,20.4,30.2,23.2,19.4,6.3,86,99.0,3.0,US News,https://www.usnews.com/education/k12/georgia/chattahoochee-elementary-school-212504
Berkeley Lake Elementary School,Public,PK-5,4300 S Berkeley Lake Rd Nw,Duluth,GA,30096,,7704460947,33.977706,-84.186256,large suburb,808,12,38.0,106.0,118.0,148.0,141.0,131.0,126.0,,,,,,,,Gwinnett County School District,106134.0,51.0,48.0,79.08,54.0,77.0,22.5,17.5,42.9,10.9,5.8,65,100.0,2.0,US News,https://www.usnews.com/education/k12/georgia/berkeley-lake-elementary-school-211235
Jackson Elementary School,Public,PK-5,1970 Sever Rd,Lawrenceville,GA,30043,,7706824200,33.9883,-84.0614,large suburb,1459,13,11.0,211.0,213.0,236.0,253.0,268.0,267.0,,,,,,,,Gwinnett County School District,106134.0,54.0,44.0,78.92,73.0,88.0,12.3,28.2,37.8,16.7,4.7,109,100.0,3.0,US News,https://www.usnews.com/education/k12/georgia/jackson-elementary-school-216903
Rosebud Elementary School,Public,PK-5,4151 Rosebud Rd,Loganville,GA,30052,http://www.rosebudes.org/home.html,6786393800,33.818646,-83.964781,large suburb,997,12,17.0,152.0,147.0,168.0,170.0,178.0,165.0,,,,,,,,Gwinnett County School District,106134.0,45.0,42.0,76.43,84.0,96.0,4.3,69.7,18.1,3.2,4.6,82,96.0,1.0,US News,https://www.usnews.com/education/k12/georgia/rosebud-elementary-school-222599
Sycamore Elementary School,Public,PK-5,5695 Sycamore Rd,Sugar Hill,GA,30518,,6787145770,34.1256,-84.0448,large suburb,768,11,31.0,110.0,119.0,114.0,135.0,116.0,143.0,,,,,,,,Gwinnett County School District,106134.0,49.0,43.0,76.11,70.0,74.0,25.9,18.1,43.2,6.9,5.7,69,97.0,1.0,US News,https://www.usnews.com/education/k12/georgia/sycamore-elementary-school-224112
Lovin Elementary School,Public,PK-5,1705 New Hope Rd,Lawrenceville,GA,30045,,6785186940,33.923152,-83.922052,large suburb,891,12,39.0,123.0,142.0,129.0,170.0,144.0,144.0,,,,,,,,Gwinnett County School District,106134.0,46.0,40.0,74.5,73.0,89.0,11.0,56.2,25.0,3.1,4.3,72,99.0,1.0,US News,https://www.usnews.com/education/k12/georgia/lovin-elementary-school-218486
Alcova Elementary School,Public,PK-5,770 Ewing Chapel Rd,Dacula,GA,30019,http://www.alcovaes.com/home,6783768500,33.9684,-83.8989,large suburb,1459,14,8.0,202.0,223.0,249.0,240.0,258.0,279.0,,,,,,,,Gwinnett County School District,106134.0,43.0,44.0,74.18,72.0,91.0,9.3,53.4,25.8,6.4,4.7,104,99.0,3.0,US News,https://www.usnews.com/education/k12/georgia/alcova-elementary-school-210403
Arcado Elementary School,Public,PK-5,5150 Arcado Rd Sw,Lilburn,GA,30047,,7709252100,33.872,-84.1398,large suburb,933,13,4.0,121.0,169.0,153.0,165.0,156.0,165.0,,,,,,,,Gwinnett County School District,106134.0,50.0,48.0,73.13,65.0,88.0,11.6,23.3,32.4,29.0,2.3,71,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/arcado-elementary-school-210651
Harmony Elementary School,Public,PK-5,3946 S Bogan Rd,Buford,GA,30519,,7709457272,34.0973,-83.9796,large suburb,627,12,5.0,106.0,92.0,87.0,108.0,108.0,121.0,,,,,,,,Gwinnett County School District,106134.0,58.0,50.0,72.0,43.0,66.0,34.0,21.9,15.8,21.4,6.7,52,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/harmony-elementary-school-215879
Harbins Elementary School,Public,PK-5,3550 New Hope Rd,Dacula,GA,30019,,7706824270,33.9439,-83.8574,fringe rural,1351,14,10.0,175.0,195.0,235.0,223.0,254.0,259.0,,,,,,,,Gwinnett County School District,106134.0,46.0,48.0,71.84,60.0,76.0,24.0,45.2,21.3,3.5,5.7,100,99.0,2.0,US News,https://www.usnews.com/education/k12/georgia/harbins-elementary-school-215848
Shiloh Elementary School,Public,PK-5,2400 Ross Rd,Snellville,GA,30039,,7709856883,33.8284,-84.0758,large suburb,713,11,16.0,121.0,121.0,99.0,117.0,112.0,127.0,,,,,,,,Gwinnett County School District,106134.0,42.0,38.0,71.44,86.0,93.0,6.9,52.3,25.2,9.7,5.6,62,95.0,1.0,US News,https://www.usnews.com/education/k12/georgia/shiloh-elementary-school-223249
Annistown Elementary School,Public,PK-5,3150 Spain Rd,Snellville,GA,30039,http://www.annistownes.com/home.html,7709792950,33.8032,-84.0686,large suburb,723,12,0.0,102.0,121.0,122.0,123.0,120.0,135.0,,,,,,,,Gwinnett County School District,106134.0,37.0,41.0,70.15,81.0,94.0,5.7,52.0,32.1,4.8,5.4,58,96.0,1.0,US News,https://www.usnews.com/education/k12/georgia/annistown-elementary-school-210606
Corley Elementary School,Public,PK-5,1331 Pleasant Hill Rd,Lawrenceville,GA,30044,,6789245330,33.9364,-84.1231,large suburb,1093,12,29.0,167.0,181.0,187.0,175.0,159.0,195.0,,,,,,,,Gwinnett County School District,106134.0,40.0,32.0,69.19,90.0,98.0,2.5,17.1,74.7,4.0,1.5,90,96.0,2.0,US News,https://www.usnews.com/education/k12/georgia/corley-elementary-school-213051
Gwinnett Online Campus,Public,PK-12,713 Hi Hope Rd,Lawrenceville,GA,30043,,7703268082,33.984154,-83.97177,large suburb,1928,14,0.0,28.0,46.0,46.0,58.0,82.0,77.0,117.0,175.0,174.0,,,,,Gwinnett County School District,106134.0,35.0,63.0,68.79,48.0,75.0,24.6,36.9,25.4,7.5,5.2,134,100.0,4.0,US News,https://www.usnews.com/education/k12/georgia/gwinnett-online-campus-141948
Jenkins Elementary School,Public,PK-5,12 Village Way,Lawrenceville,GA,30046,,6784078900,33.960083,-83.966769,large suburb,745,13,6.0,111.0,110.0,134.0,141.0,124.0,119.0,,,,,,,,Gwinnett County School District,106134.0,36.0,37.0,68.38,87.0,93.0,6.7,44.6,41.5,2.4,4.7,57,96.0,1.0,US News,https://www.usnews.com/education/k12/georgia/jenkins-elementary-school-217077
New Life Academy of Excellence,Charter,PK-8,4725 River Green Pkwy,Duluth,GA,30096,,6787209870,34.01329,-84.170711,large suburb,603,17,0.0,70.0,88.0,87.0,77.0,81.0,77.0,50.0,40.0,33.0,,,,,Gwinnett County School District,106134.0,40.0,44.0,67.82,66.0,96.0,3.8,63.3,27.2,1.8,3.5,35,100.0,,US News,https://www.usnews.com/education/k12/georgia/new-life-academy-of-excellence-233241
Bethesda Elementary School,Public,PK-5,525 Bethesda School Rd,Lawrenceville,GA,30044,http://www.gcpsk12.org/BethesdaES,7709212000,33.9254,-84.086,large suburb,1105,13,10.0,167.0,187.0,202.0,166.0,187.0,186.0,,,,,,,,Gwinnett County School District,106134.0,42.0,33.0,65.57,84.0,96.0,4.3,18.4,65.0,9.0,3.0,86,98.0,3.0,US News,https://www.usnews.com/education/k12/georgia/bethesda-elementary-school-211280
Kanoheda Elementary School,Public,PK-5,1025 Herrington Rd,Lawrenceville,GA,30044,,7706824221,33.9425,-84.0828,large suburb,850,11,13.0,148.0,151.0,142.0,144.0,128.0,124.0,,,,,,,,Gwinnett County School District,106134.0,36.0,33.0,64.28,86.0,96.0,3.5,22.0,67.5,4.9,2.0,76,99.0,2.0,US News,https://www.usnews.com/education/k12/georgia/kanoheda-elementary-school-217399
Dacula Elementary School,Public,PK-5,2500 Fence Rd,Dacula,GA,30019,,7709637174,33.9998,-83.9034,large suburb,1183,13,32.0,161.0,162.0,174.0,204.0,230.0,220.0,,,,,,,,Gwinnett County School District,106134.0,45.0,41.0,63.88,66.0,76.0,23.9,33.2,29.1,5.7,7.8,90,97.0,2.0,US News,https://www.usnews.com/education/k12/georgia/dacula-elementary-school-213340
Lilburn Elementary School,Public,PK-5,531 Lilburn School Rd Nw,Lilburn,GA,30047,,7709217707,33.8919,-84.153,large suburb,1294,12,1.0,193.0,212.0,223.0,223.0,209.0,233.0,,,,,,,,Gwinnett County School District,106134.0,38.0,32.0,63.64,91.0,97.0,2.9,9.9,73.3,12.5,1.2,104,99.0,3.0,US News,https://www.usnews.com/education/k12/georgia/lilburn-elementary-school-218203
Chesney Elementary School,Public,PK-5,3878 Old Norcross Rd,Duluth,GA,30096,,6785422300,33.9595,-84.1457,large suburb,1066,13,8.0,178.0,205.0,161.0,190.0,175.0,149.0,,,,,,,,Gwinnett County School District,106134.0,42.0,30.0,63.15,82.0,95.0,4.6,24.0,61.4,6.7,3.0,80,96.0,1.0,US News,https://www.usnews.com/education/k12/georgia/chesney-elementary-school-212547
Mckendree Elementary School,Public,PK-5,1600 Riverside Pkwy,Lawrenceville,GA,30043,,6783778933,33.9776,-84.0269,large suburb,998,12,49.0,147.0,162.0,166.0,142.0,159.0,173.0,,,,,,,,Gwinnett County School District,106134.0,40.0,37.0,61.3,75.0,88.0,12.3,39.4,34.7,7.3,6.0,86,97.0,2.0,US News,https://www.usnews.com/education/k12/georgia/mckendree-elementary-school-219083
Norton Elementary School,Public,PK-5,3050 Xavier Ray Ct,Snellville,GA,30039,,7709851933,33.8099,-84.0094,large suburb,1005,15,52.0,175.0,160.0,147.0,146.0,164.0,161.0,,,,,,,,Gwinnett County School District,106134.0,36.0,33.0,60.26,87.0,95.0,4.7,64.4,22.1,2.5,5.7,69,98.0,2.0,US News,https://www.usnews.com/education/k12/georgia/norton-elementary-school-220238
Cedar Hill Elementary School,Public,PK-5,3615 Sugarloaf Pkwy,Lawrenceville,GA,30044,,7709625015,33.9273,-84.0223,large suburb,867,12,4.0,126.0,132.0,163.0,141.0,159.0,142.0,,,,,,,,Gwinnett County School District,106134.0,37.0,33.0,58.81,84.0,93.0,7.4,33.9,46.1,8.5,3.2,71,98.0,2.0,US News,https://www.usnews.com/education/k12/georgia/cedar-hill-elementary-school-212278
Peachtree Elementary School,Public,PK-5,5995 Crooked Creek Rd,Peachtree Corners,GA,30092,,7704488710,33.963282,-84.236674,large suburb,677,12,1.0,106.0,110.0,123.0,106.0,113.0,118.0,,,,,,,,Gwinnett County School District,106134.0,34.0,35.0,58.73,79.0,90.0,9.9,32.8,51.1,1.6,4.4,57,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/peachtree-elementary-school-220876
Alford Elementary,Public,PK-5,2625 Lawrenceville Hwy,Lawrenceville,GA,30044,,6789245300,33.925424,-84.070805,large suburb,822,12,24.0,98.0,125.0,150.0,129.0,143.0,153.0,,,,,,,,Gwinnett County School District,106134.0,25.0,29.0,28.96,85.0,93.0,7.4,21.8,58.9,9.9,2.1,72,100.0,2.0,US News,https://www.usnews.com/education/k12/georgia/alford-elementary-210425
Anderson-Livsey Elementary School,Public,PK-5,4521 Centerville Hwy,Snellville,GA,30039,,6783442082,33.7755,-84.0501,large suburb,676,13,43.0,92.0,99.0,105.0,110.0,115.0,112.0,,,,,,,,Gwinnett County School District,106134.0,39.0,26.0,53.9,84.0,97.0,3.1,59.9,27.8,1.3,7.5,54,98.0,1.0,US News,https://www.usnews.com/education/k12/georgia/anderson-livsey-elementary-school-210550
Baggett Elementary School,Public,PK-5,2136 Old Norcross Rd,Lawrenceville,GA,30044,,6783016100,33.949107,-84.066289,large suburb,994,12,34.0,131.0,161.0,179.0,167.0,171.0,151.0,,,,,,,,Gwinnett County School District,106134.0,32.0,22.0,37.65,87.0,96.0,4.0,26.3,60.9,5.6,3.0,84,96.0,2.0,US News,https://www.usnews.com/education/k12/georgia/baggett-elementary-school-210875
