X,Y,OBJECTID,NCESSCH,SURVYEAR,STABR,LEAID,ST_LEAID,county,school_name,LSTREET1,LSTREET2,city,state,LZIP,LZIP4,PHONE,VIRTUAL,GSLO,GSHI,SCHOOL_LEVEL,STATUS,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,ULOCALE,NMCNTY,CNTY,TOTFRL,FRELCH,REDLCH,DIRECTCERT,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,UG,AE,TOTMENROL,TOTFENROL,TOTAL,MEMBER,FTE,STUTERATIO,AMALM,AMALF,AM,ASALM,ASALF,AS_,BLALM,BLALF,BL,HPALM,HPALF,HP,HIALM,HIALF,HI,TRALM,TRALF,TR,WHALM,WHALF,WH,lat,lon,school_type,PPIN,STREET,ZIP,STFIP,LOCALE,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR
-83.9718119999999,33.9863329990001,25099,130255000308.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Gwinnett InterVention Education (GIVE) Center East,723 Hi Hope Rd,,Lawrenceville,GA,30043.0,    ,(770)338-4855,Not Virtual,07,12,High,1.0,Alternative Education School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,121.0,104.0,17.0,15.0,,,,,,,,,8.0,26.0,57.0,69.0,40.0,26.0,,,,165.0,61.0,226.0,226.0,40.7000007629395,5.55,1.0,0.0,1.0,4.0,0.0,4.0,113.0,40.0,153.0,0.0,0.0,0.0,32.0,12.0,44.0,8.0,3.0,11.0,7.0,6.0,13.0,33.986333,-83.971812,Public,,,,,,,,,,,,,,
-83.9569,33.936899999,25100,130255000309.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Simonton Elementary School,275 Simonton Rd,,Lawrenceville,GA,30045.0,    ,(770)513-6637,Not Virtual,PK,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,575.0,468.0,107.0,70.0,30.0,114.0,123.0,114.0,96.0,133.0,139.0,,,,,,,,,,,393.0,356.0,749.0,749.0,51.7999992370605,14.46,2.0,0.0,2.0,24.0,13.0,37.0,146.0,137.0,283.0,0.0,1.0,1.0,174.0,158.0,332.0,10.0,10.0,20.0,37.0,37.0,74.0,33.9369,-83.9569,Public,,,,,,,,,,,,,,
-84.229275,33.998473,25101,130255000327.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Simpson Elementary School,4525 E Jones Bridge Rd,,Peachtree Corners,GA,30092.0,    ,(770)417-2400,Not Virtual,PK,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,108.0,82.0,26.0,16.0,40.0,142.0,164.0,144.0,164.0,159.0,138.0,,,,,,,,,,,516.0,435.0,951.0,951.0,72.0,13.21,1.0,0.0,1.0,52.0,35.0,87.0,65.0,41.0,106.0,0.0,0.0,0.0,62.0,30.0,92.0,28.0,24.0,52.0,308.0,305.0,613.0,33.998473,-84.229275,Public,,,,,,,,,,,,,,
-84.0207,34.0163000000001,25102,130255000959.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Collins Hill High School,50 Taylor Rd,,Suwanee,GA,30024.0,    ,(770)682-4100,Not Virtual,09,12,High,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,1233.0,883.0,350.0,75.0,,,,,,,,,,,789.0,680.0,605.0,621.0,,,,1367.0,1328.0,2695.0,2695.0,153.300003051758,17.58,1.0,1.0,2.0,152.0,153.0,305.0,477.0,444.0,921.0,1.0,0.0,1.0,443.0,450.0,893.0,77.0,69.0,146.0,216.0,211.0,427.0,34.0163,-84.0207,Public,,,,,,,,,,,,,,
-83.924,34.0445999990001,25103,130255000972.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Fort Daniel Elementary School,1725 Auburn Rd,,Dacula,GA,30019.0,    ,(770)932-7400,Not Virtual,PK,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,256.0,207.0,49.0,25.0,23.0,111.0,116.0,93.0,105.0,127.0,116.0,,,,,,,,,,,355.0,336.0,691.0,691.0,55.0,12.56,0.0,0.0,0.0,44.0,44.0,88.0,81.0,81.0,162.0,0.0,0.0,0.0,92.0,70.0,162.0,21.0,25.0,46.0,117.0,116.0,233.0,34.0446,-83.924,Public,,,,,,,,,,,,,,
-84.0613999999999,33.988299999,25104,130255000973.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Jackson Elementary School,1970 Sever Rd,,Lawrenceville,GA,30043.0,    ,(770)682-4200,Not Virtual,PK,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,923.0,718.0,205.0,120.0,4.0,211.0,231.0,257.0,255.0,264.0,269.0,,,,,,,,,,,747.0,744.0,1491.0,1491.0,101.599998474121,14.68,0.0,0.0,0.0,117.0,122.0,239.0,206.0,222.0,428.0,2.0,0.0,2.0,285.0,272.0,557.0,34.0,42.0,76.0,103.0,86.0,189.0,33.9883,-84.0614,Public,,,,,,,,,,,,,,
-84.0828,33.9425000000001,25105,130255000992.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Kanoheda Elementary School,1025 Herrington Rd,,Lawrenceville,GA,30044.0,    ,(770)682-4221,Not Virtual,PK,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,738.0,614.0,124.0,60.0,22.0,161.0,155.0,156.0,131.0,122.0,143.0,,,,,,,,,,,453.0,437.0,890.0,890.0,72.5,12.28,0.0,0.0,0.0,21.0,17.0,38.0,101.0,105.0,206.0,0.0,0.0,0.0,308.0,287.0,595.0,8.0,10.0,18.0,15.0,18.0,33.0,33.9425,-84.0828,Public,,,,,,,,,,,,,,
-83.9372999999999,33.9968000010001,25106,130255001109.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Dyer Elementary School,1707 Hurricane Shoals Rd,,Dacula,GA,30019.0,    ,(770)963-6214,Not Virtual,PK,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,427.0,319.0,108.0,61.0,32.0,132.0,129.0,123.0,144.0,155.0,146.0,,,,,,,,,,,427.0,434.0,861.0,861.0,64.3000030517578,13.39,1.0,2.0,3.0,53.0,46.0,99.0,148.0,150.0,298.0,0.0,0.0,0.0,91.0,105.0,196.0,19.0,31.0,50.0,115.0,100.0,215.0,33.9968,-83.9373,Public,,,,,,,,,,,,,,
-84.1948,33.8996000000001,25107,130255001110.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Rockbridge Elementary School,6066 Rockbridge School Rd,,Norcross,GA,30093.0,    ,(770)448-9363,Not Virtual,KG,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,918.0,827.0,91.0,110.0,,155.0,187.0,176.0,158.0,190.0,167.0,,,,,,,,,,,554.0,479.0,1033.0,1033.0,83.3000030517578,12.4,0.0,2.0,2.0,35.0,26.0,61.0,65.0,54.0,119.0,1.0,0.0,1.0,438.0,388.0,826.0,5.0,3.0,8.0,10.0,6.0,16.0,33.8996,-84.1948,Public,,,,,,,,,,,,,,
-84.1446,33.8876000000001,25108,130255001111.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Lilburn Middle School,4994 Lawrenceville Hwy NW,,Lilburn,GA,30047.0,    ,(770)921-1776,Not Virtual,06,08,Middle,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,1599.0,1410.0,189.0,135.0,,,,,,,,587.0,550.0,646.0,,,,,,,,900.0,883.0,1783.0,1783.0,119.5,14.92,0.0,2.0,2.0,61.0,53.0,114.0,102.0,118.0,220.0,0.0,0.0,0.0,711.0,678.0,1389.0,7.0,13.0,20.0,19.0,19.0,38.0,33.8876,-84.1446,Public,,,,,,,,,,,,,,
-84.1002,33.8857,25109,130255001112.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Knight Elementary School,401 N River Dr SW,,Lilburn,GA,30047.0,    ,(770)921-2400,Not Virtual,PK,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,556.0,429.0,127.0,35.0,4.0,118.0,132.0,157.0,147.0,161.0,150.0,,,,,,,,,,,490.0,379.0,869.0,869.0,65.4000015258789,13.29,0.0,0.0,0.0,70.0,59.0,129.0,88.0,68.0,156.0,0.0,0.0,0.0,235.0,159.0,394.0,19.0,20.0,39.0,78.0,73.0,151.0,33.8857,-84.1002,Public,,,,,,,,,,,,,,
-84.1138999999999,33.8595,25110,130255001114.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Parkview High School,998 Cole Rd SW,,Lilburn,GA,30047.0,    ,(770)921-2874,Not Virtual,09,12,High,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,1460.0,1081.0,379.0,84.0,,,,,,,,,,,927.0,864.0,794.0,677.0,,,,1708.0,1554.0,3262.0,3262.0,174.100006103516,18.74,5.0,1.0,6.0,365.0,331.0,696.0,467.0,423.0,890.0,1.0,1.0,2.0,469.0,412.0,881.0,63.0,62.0,125.0,338.0,324.0,662.0,33.8595,-84.1139,Public,,,,,,,,,,,,,,
-84.119752999,33.8867139990001,25111,130255001115.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Trickum Middle School,130 Killian Hill Rd SW,,Lilburn,GA,30047.0,    ,(770)921-2705,Not Virtual,06,08,Middle,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,1127.0,891.0,236.0,87.0,,,,,,,,705.0,732.0,711.0,,,,,,,,1078.0,1070.0,2148.0,2148.0,129.600006103516,16.57,3.0,1.0,4.0,205.0,226.0,431.0,251.0,266.0,517.0,2.0,0.0,2.0,305.0,326.0,631.0,52.0,42.0,94.0,260.0,209.0,469.0,33.886714,-84.119753,Public,,,,,,,,,,,,,,
-84.0359999999999,33.8231000000001,25112,130255001116.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Centerville Elementary School,3115 Scenic Hwy S,,Snellville,GA,30039.0,    ,(770)972-2220,Not Virtual,KG,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,491.0,425.0,66.0,77.0,,89.0,112.0,99.0,119.0,121.0,132.0,,,,,,,,,,,349.0,323.0,672.0,672.0,52.0,12.92,2.0,2.0,4.0,20.0,17.0,37.0,191.0,180.0,371.0,0.0,1.0,1.0,88.0,81.0,169.0,19.0,15.0,34.0,29.0,27.0,56.0,33.8231,-84.036,Public,,,,,,,,,,,,,,
-84.153,33.8919000000001,25113,130255001117.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Lilburn Elementary School,531 Lilburn School Rd NW,,Lilburn,GA,30047.0,    ,(770)921-7707,Not Virtual,KG,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,1148.0,1003.0,145.0,125.0,,206.0,210.0,212.0,207.0,230.0,234.0,,,,,,,,,,,647.0,652.0,1299.0,1299.0,94.0,13.82,1.0,0.0,1.0,85.0,74.0,159.0,69.0,88.0,157.0,0.0,0.0,0.0,448.0,461.0,909.0,14.0,9.0,23.0,30.0,20.0,50.0,33.8919,-84.153,Public,,,,,,,,,,,,,,
-84.1437999999999,34.010000001,25114,130255001118.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Duluth High School,3737 Brock Rd,,Duluth,GA,30096.0,    ,(770)476-5206,Not Virtual,09,12,High,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,1456.0,1131.0,325.0,100.0,,,,,,,,,,,753.0,667.0,650.0,574.0,,,,1389.0,1255.0,2644.0,2644.0,154.199996948242,17.15,4.0,2.0,6.0,159.0,165.0,324.0,322.0,300.0,622.0,1.0,4.0,5.0,687.0,581.0,1268.0,49.0,44.0,93.0,167.0,159.0,326.0,34.01,-84.1438,Public,,,,,,,,,,,,,,
-84.054800001,34.0487000000001,25115,130255001119.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Suwanee Elementary School,3875 Smithtown Rd,,Suwanee,GA,30024.0,    ,(770)945-5763,Not Virtual,PK,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,152.0,117.0,35.0,19.0,16.0,80.0,110.0,108.0,113.0,112.0,133.0,,,,,,,,,,,334.0,338.0,672.0,672.0,47.0,14.3,1.0,0.0,1.0,126.0,122.0,248.0,48.0,44.0,92.0,0.0,1.0,1.0,31.0,40.0,71.0,25.0,29.0,54.0,103.0,102.0,205.0,34.0487,-84.0548,Public,,,,,,,,,,,,,,
-84.2366739999999,33.963282,25116,130255001120.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Peachtree Elementary School,5995 Crooked Creek Rd,,Peachtree Corners,GA,30092.0,    ,(770)448-8710,Not Virtual,PK,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,508.0,428.0,80.0,87.0,3.0,115.0,121.0,102.0,110.0,122.0,123.0,,,,,,,,,,,337.0,359.0,696.0,696.0,57.2000007629395,12.17,0.0,1.0,1.0,4.0,10.0,14.0,121.0,119.0,240.0,0.0,0.0,0.0,171.0,163.0,334.0,14.0,20.0,34.0,27.0,46.0,73.0,33.963282,-84.236674,Public,,,,,,,,,,,,,,
-83.994899999,33.9459000000001,25117,130255001121.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Lawrenceville Elementary School,122 Gwinnett Dr,,Lawrenceville,GA,30046.0,    ,(770)963-1813,Not Virtual,PK,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,585.0,508.0,77.0,103.0,51.0,113.0,91.0,128.0,106.0,100.0,110.0,,,,,,,,,,,332.0,367.0,699.0,699.0,58.0999984741211,12.03,0.0,1.0,1.0,5.0,9.0,14.0,155.0,182.0,337.0,2.0,0.0,2.0,132.0,133.0,265.0,20.0,17.0,37.0,18.0,25.0,43.0,33.9459,-83.9949,Public,,,,,,,,,,,,,,
-84.1584,33.9870000000001,25118,130255001122.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Duluth Middle School,3200 Pleasant Hill Rd,,Duluth,GA,30096.0,    ,(770)476-3372,Not Virtual,06,08,Middle,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,922.0,738.0,184.0,84.0,,,,,,,,425.0,417.0,429.0,,,,,,,,632.0,639.0,1271.0,1271.0,98.5,12.9,0.0,0.0,0.0,76.0,68.0,144.0,142.0,160.0,302.0,1.0,0.0,1.0,347.0,334.0,681.0,13.0,25.0,38.0,53.0,52.0,105.0,33.987,-84.1584,Public,,,,,,,,,,,,,,
-84.0716,34.0855,25119,130255001123.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,North Gwinnett High School,20 Level Creek Rd,,Suwanee,GA,30024.0,    ,(770)945-9558,Not Virtual,09,12,High,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,386.0,243.0,143.0,19.0,,,,,,,,,,,810.0,765.0,758.0,764.0,,,,1603.0,1494.0,3097.0,3097.0,163.600006103516,18.93,1.0,1.0,2.0,468.0,466.0,934.0,219.0,222.0,441.0,1.0,3.0,4.0,154.0,133.0,287.0,94.0,76.0,170.0,666.0,593.0,1259.0,34.0855,-84.0716,Public,,,,,,,,,,,,,,
-84.202165,33.941018,25120,130255001124.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Summerour Middle School,321 Price Place Pl NW,,Norcross,GA,30071.0,    ,(770)448-3045,Not Virtual,06,08,Middle,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,1313.0,1158.0,155.0,188.0,,,,,,,,483.0,487.0,495.0,,,,,,,,751.0,714.0,1465.0,1465.0,112.5,13.02,0.0,2.0,2.0,27.0,36.0,63.0,128.0,121.0,249.0,0.0,1.0,1.0,570.0,530.0,1100.0,9.0,11.0,20.0,17.0,13.0,30.0,33.941018,-84.202165,Public,,,,,,,,,,,,,,
-84.2068,33.9457,25121,130255001125.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Norcross Elementary School,150 Hunt St,,Norcross,GA,30071.0,    ,(770)448-2188,Not Virtual,PK,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,712.0,626.0,86.0,125.0,8.0,144.0,126.0,125.0,146.0,114.0,143.0,,,,,,,,,,,420.0,386.0,806.0,806.0,61.7000007629395,13.06,1.0,3.0,4.0,29.0,20.0,49.0,62.0,75.0,137.0,0.0,0.0,0.0,312.0,277.0,589.0,8.0,2.0,10.0,8.0,9.0,17.0,33.9457,-84.2068,Public,,,,,,,,,,,,,,
-83.9007999999999,33.9908,25122,130255001127.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Dacula High School,123 Broad St,,Dacula,GA,30019.0,    ,(770)963-6664,Not Virtual,09,12,High,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,1271.0,971.0,300.0,94.0,,,,,,,,,,,735.0,656.0,574.0,533.0,,,,1275.0,1223.0,2498.0,2498.0,143.300003051758,17.43,0.0,0.0,0.0,48.0,50.0,98.0,609.0,576.0,1185.0,1.0,3.0,4.0,332.0,334.0,666.0,44.0,57.0,101.0,241.0,203.0,444.0,33.9908,-83.9008,Public,,,,,,,,,,,,,,
-84.0003,33.9488000010001,25123,130255001129.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Central Gwinnett High School,564 W Crogan St,,Lawrenceville,GA,30046.0,    ,(770)963-8041,Not Virtual,09,12,High,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,1565.0,1276.0,289.0,108.0,,,,,,,,,,,687.0,674.0,528.0,491.0,,,,1164.0,1216.0,2380.0,2380.0,158.399993896484,15.03,1.0,2.0,3.0,61.0,54.0,115.0,483.0,548.0,1031.0,0.0,2.0,2.0,473.0,426.0,899.0,40.0,54.0,94.0,106.0,130.0,236.0,33.9488,-84.0003,Public,,,,,,,,,,,,,,
